_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
63189a58ddaca31c0f993cac,EK2363,UAE2363,DXB,OMDB,3,B3,2022-09-07 09:50,TLV,LLBG,2022-09-07 12:20,landed,210,0,0
63189a58ddaca31c0f993cad,FZ1209,FDB1209,DXB,OMDB,3,B3,2022-09-07 09:50,TLV,LLBG,2022-09-07 12:20,landed,210,0,0
63189a58ddaca31c0f993cae,BZ111,BBG111,LCA,LCLK,,,2022-09-07 12:00,TLV,LLBG,2022-09-07 13:00,active,60,0,0
63189a58ddaca31c0f993caf,XQ880,SXS880,ADB,LTBJ,I,114,2022-09-07 11:15,TLV,LLBG,2022-09-07 13:00,landed,105,32,0
63189a58ddaca31c0f993cb0,BZ753,BBG753,HER,LGIR,,,2022-09-07 11:20,TLV,LLBG,2022-09-07 13:00,landed,100,0,0
63189a58ddaca31c0f993cb1,TK794,THY794,IST,LTFM,,,2022-09-07 11:20,TLV,LLBG,2022-09-07 13:25,landed,125,0,0
63189a58ddaca31c0f993cb2,W64547,WZZ4547,VAR,LBWN,,,2022-09-07 11:50,TLV,LLBG,2022-09-07 13:55,landed,125,8,0
63189a58ddaca31c0f993cb3,LY26,ELY26,EWR,KEWR,B,,2022-09-06 21:00,TLV,LLBG,2022-09-07 14:25,landed,625,38,0
63189a58ddaca31c0f993cb4,IZ162,AIZ162,LCA,LCLK,,,2022-09-07 13:30,TLV,LLBG,2022-09-07 14:30,landed,60,0,0
63189a58ddaca31c0f993cb5,QS162,TVS162,LCA,LCLK,,,2022-09-07 13:30,TLV,LLBG,2022-09-07 14:30,landed,60,0,0
63189a58ddaca31c0f993cb6,PC783,PGT783,SAW,LTFJ,,201B,2022-09-07 13:10,TLV,LLBG,2022-09-07 15:15,landed,125,0,0
63189a58ddaca31c0f993cb7,IZ336,AIZ336,FCO,LIRF,3,,2022-09-07 11:05,TLV,LLBG,2022-09-07 15:25,landed,200,0,0
63189a58ddaca31c0f993cb8,U8336,CYF336,FCO,LIRF,3,,2022-09-07 11:05,TLV,LLBG,2022-09-07 15:25,landed,200,0,0
63189a58ddaca31c0f993cb9,FR5525,RYR5525,SKG,LGTS,,,2022-09-07 13:25,TLV,LLBG,2022-09-07 15:40,active,135,56,0
63189a58ddaca31c0f993cba,TK786,THY786,IST,LTFM,,,2022-09-07 13:40,TLV,LLBG,2022-09-07 15:45,landed,125,0,0
63189a58ddaca31c0f993cbb,LH680,DLH680,MUC,EDDM,2,,2022-09-07 11:25,TLV,LLBG,2022-09-07 16:05,active,220,43,0
63189a58ddaca31c0f993cbc,SN7171,BEL7171,MUC,EDDM,2,,2022-09-07 11:25,TLV,LLBG,2022-09-07 16:05,active,220,43,0
